ID,code,description
508cac3c-41fa-41c9-9a8a-11ab9107cfc7,EN,English
d3bef0bc-e305-432d-97b3-bf929b0919d8,TN,Tamil
999d67e3-aa7d-47f0-b546-03f302b98321,TE,Telugu
